#(id,from,to,speed,planTime)
(10569,94,40,8, 70)
(12963,31,89,4, 70)
(12972,28,82,6, 70)
(47061,34,89,6, 70)
(39182,81,20,6, 70)
(14077,71,17,4, 70)
(25786,1,88,6, 70)
(47094,51,10,8, 70)
(28545,69,14,8, 70)
(39154,58,1,4, 70)
(48727,76,11,6, 70)
(48044,1,98,4, 70)
(32119,54,9,6, 70)
(33209,11,99,6, 70)
(38678,34,99,4, 70)
(33439,10,61,8, 70)
(38638,43,99,8, 70)
(22924,78,3,8, 70)
(39116,82,8,8, 70)
(48017,88,11,8, 70)
(32283,89,13,8, 70)
(33480,56,1,8, 70)
(29287,47,92,6, 70)
(47951,51,7,6, 70)
(46991,54,10,6, 70)
(12612,34,90,8, 70)
(22559,94,39,4, 70)
(12206,34,90,4, 70)
(50555,23,88,8, 70)
(33262,41,98,4, 70)
(48414,66,11,4, 70)
(39374,5,90,8, 70)
(38427,48,93,4, 70)
(30711,93,28,6, 70)
(48399,44,99,4, 70)
(32114,98,13,8, 70)
(12669,48,91,4, 70)
(48346,80,1,6, 70)
(22187,94,50,6, 70)
(46673,60,5,6, 70)
(25856,96,21,6, 70)
(39051,28,83,4, 70)
(14325,11,67,6, 70)
(13749,37,92,6, 70)
(38501,17,61,4, 70)
(48868,78,1,4, 70)
(48254,49,92,4, 70)
(33015,54,10,4, 70)
(22872,94,29,8, 70)
(48695,81,17,6, 70)
(46959,53,8,8, 70)
(48181,38,82,6, 70)
(32933,29,92,8, 70)
(39301,88,21,4, 70)
(13806,82,17,6, 70)
(32315,74,19,6, 70)
(47670,71,10,4, 70)
(42054,47,92,6, 70)
(46068,50,95,8, 70)
(31043,4,90,8, 70)
(43481,9,94,8, 70)
(27147,5,100,8, 70)
(20308,60,5,4, 70)
(26460,93,39,4, 70)
(41227,85,20,4, 70)
(17889,89,13,8, 70)
(27138,66,1,8, 70)
(49647,41,96,4, 70)
(30154,55,10,6, 70)
(17991,55,10,8, 70)
(49669,92,10,8, 70)
(29670,76,21,8, 70)
(10962,85,40,4, 70)
(11388,85,20,8, 70)
(30301,55,10,6, 70)
(11370,18,71,8, 70)
(18068,73,9,4, 70)
(34600,64,10,8, 70)
(41352,70,11,4, 70)
(35138,27,91,4, 70)
(34638,11,80,8, 70)
(19994,67,11,8, 70)
(41154,29,83,4, 70)
(27148,44,99,6, 70)
(43501,46,91,8, 70)
(43525,67,2,4, 70)
(43833,88,33,6, 70)
(40938,51,8,6, 70)
(30343,51,6,4, 70)
(34427,61,10,6, 70)
(34429,30,71,4, 70)
(35296,64,10,6, 70)
(34431,23,100,4, 70)
(40965,89,21,6, 70)
(11471,49,93,8, 70)
(20500,96,31,8, 70)
(50094,10,74,6, 70)
(43073,51,7,4, 70)
(17621,22,98,4, 70)
(11462,57,2,8, 70)
(35267,71,17,4, 70)
(28989,20,92,6, 70)
(11432,94,49,8, 70)
(27180,45,100,6, 70)
(17745,71,10,4, 70)
(20369,99,42,6, 70)
(43595,69,2,4, 70)
(27178,73,10,4, 70)
(17798,25,100,4, 70)
(32752,96,41,6, 70)
(31519,78,23,4, 70)
(11495,9,54,8, 70)
(32631,2,100,8, 70)
(18347,72,29,6, 70)
(18778,31,89,8, 70)
(11233,53,9,6, 70)
(26842,75,10,6, 70)
(32655,25,90,6, 70)
(42429,53,8,4, 70)
(19588,93,39,4, 70)
(19564,37,91,6, 70)
(41879,64,10,4, 70)
(19013,63,19,8, 70)
(34866,38,81,8, 70)
(26795,16,61,4, 70)
(26691,40,85,4, 70)
(19489,19,83,8, 70)
(19111,76,11,4, 70)
(41970,38,81,8, 70)
(49872,86,21,6, 70)
(49873,14,69,6, 70)
(19213,23,98,6, 70)
(19455,10,51,8, 70)
(19448,89,22,8, 70)
(42059,54,9,6, 70)
(26736,3,58,6, 70)
(42037,73,18,4, 70)
(49790,28,73,6, 70)
(18646,65,10,8, 70)
(49788,92,39,4, 70)
(18629,8,51,6, 70)
(18352,67,2,4, 70)
(19862,9,94,8, 70)
(41583,99,14,4, 70)
(19860,69,12,4, 70)
(35077,42,97,6, 70)
(11308,46,91,8, 70)
(18378,55,10,4, 70)
(29050,29,94,4, 70)
(18419,89,32,4, 70)
(19779,4,90,8, 70)
(42898,82,40,8, 70)
(18343,1,69,6, 70)
(41674,65,20,4, 70)
(42839,90,5,8, 70)
(41693,23,88,6, 70)
(31585,85,20,4, 70)
(18567,85,10,8, 70)
(41717,11,96,4, 70)
(42754,3,59,4, 70)
(26937,32,99,6, 70)
(19678,94,39,6, 70)
(41771,66,1,8, 70)
(42735,37,92,8, 70)
(11086,7,71,4, 70)
(29059,84,40,6, 70)
(46078,11,97,4, 70)
(43874,85,10,4, 70)
(17460,55,10,4, 70)
(39863,34,100,8, 70)
(39874,52,7,6, 70)
(15608,40,85,6, 70)
(15752,46,91,8, 70)
(27728,63,8,8, 70)
(27712,71,9,4, 70)
(21547,63,9,4, 70)
(21525,40,85,4, 70)
(45483,94,30,8, 70)
(35584,57,2,6, 70)
(21509,58,3,4, 70)
(40011,41,100,8, 70)
(45375,86,11,8, 70)
(33995,7,61,6, 70)
(15948,69,4,6, 70)
(21455,4,100,8, 70)
(15968,64,10,8, 70)
(15988,99,44,6, 70)
(35567,9,72,4, 70)
(21388,30,73,6, 70)
(45100,53,10,6, 70)
(21345,34,90,8, 70)
(45047,35,100,6, 70)
(33899,49,94,6, 70)
(50328,68,12,6, 70)
(28887,31,100,4, 70)
(45714,7,61,8, 70)
(39641,53,8,8, 70)
(15193,20,92,6, 70)
(39650,27,71,6, 70)
(39657,98,22,8, 70)
(15220,99,21,4, 70)
(46020,30,94,4, 70)
(31351,58,2,6, 70)
(15324,43,100,6, 70)
(15339,3,88,8, 70)
(28874,5,80,6, 70)
(15373,91,18,4, 70)
(44966,91,7,4, 70)
(33848,21,96,6, 70)
(11905,53,10,4, 70)
(39786,38,92,4, 70)
(39787,59,4,8, 70)
(15436,78,13,8, 70)
(15447,42,100,6, 70)
(25997,21,99,4, 70)
(15451,87,1,6, 70)
(35652,80,12,6, 70)
(27791,52,9,6, 70)
(35651,85,40,4, 70)
(31376,49,93,8, 70)
(15418,12,100,4, 70)
(40902,67,11,4, 70)
(21289,6,51,6, 70)
(40239,1,79,8, 70)
(34236,51,6,4, 70)
(44443,38,93,8, 70)
(49462,50,92,8, 70)
(44390,82,37,8, 70)
(44351,28,82,4, 70)
(35389,46,91,8, 70)
(32797,50,93,8, 70)
(44292,13,80,6, 70)
(44192,7,61,4, 70)
(44136,20,71,6, 70)
(30102,94,20,4, 70)
(20733,1,68,8, 70)
(17283,64,20,8, 70)
(44023,36,91,6, 70)
(26283,3,89,4, 70)
(44005,41,97,6, 70)
(34378,58,3,6, 70)
(43963,13,88,4, 70)
(43961,99,43,6, 70)
(40834,58,2,4, 70)
(35335,18,82,6, 70)
(43960,83,8,6, 70)
(43952,96,11,4, 70)
(40603,97,12,6, 70)
(44514,46,91,4, 70)
(28934,34,100,8, 70)
(32808,11,90,4, 70)
(21266,3,60,8, 70)
(49373,17,72,6, 70)
(34125,89,2,4, 70)
(34132,85,20,4, 70)
(44872,95,10,6, 70)
(21190,41,96,8, 70)
(16491,74,29,4, 70)
(40326,23,88,8, 70)
(44773,58,1,6, 70)
(49405,72,20,4, 70)
(44764,9,92,6, 70)
(44927,70,15,6, 70)
(44757,50,95,6, 70)
(44690,36,91,4, 70)
(16621,19,64,8, 70)
(30827,83,29,6, 70)
(44643,88,23,8, 70)
(16667,14,80,4, 70)
(29568,82,39,4, 70)
(16732,12,98,4, 70)
(27439,5,80,4, 70)
(16750,58,2,6, 70)
(35412,77,2,6, 70)
(50182,85,40,4, 70)
(40405,95,40,8, 70)
(25575,24,80,6, 70)
(49819,68,11,6, 70)
(24080,13,98,6, 70)
(36752,89,31,4, 70)
(10124,51,7,8, 70)
(23703,92,28,8, 70)
(32056,27,81,8, 70)
(32014,46,91,6, 70)
(25511,98,11,8, 70)
(23462,55,10,4, 70)
(24520,32,98,4, 70)
(24038,96,31,8, 70)
(23394,10,91,6, 70)
(36735,5,80,4, 70)
(50655,63,19,4, 70)
(36994,69,14,6, 70)
(36573,16,81,8, 70)
(23580,78,3,8, 70)
(36638,44,99,8, 70)
(37738,83,8,8, 70)
(36655,3,70,6, 70)
(25273,8,83,6, 70)
(37091,2,89,4, 70)
(25141,44,99,8, 70)
(24327,59,1,4, 70)
(37943,69,3,8, 70)
(37548,15,80,6, 70)
(50819,11,87,8, 70)
(25029,54,9,4, 70)
(29390,90,4,8, 70)
(36502,85,10,4, 70)
(37335,38,83,4, 70)
(32437,21,88,8, 70)
(24369,18,63,4, 70)
(36176,17,71,8, 70)
(29407,9,91,6, 70)
(37038,92,8,4, 70)
(37433,52,7,6, 70)
(10123,74,9,4, 70)
(37187,78,23,4, 70)
(37882,77,2,4, 70)
(23814,51,8,4, 70)
(23528,21,96,6, 70)
(50742,3,78,4, 70)
(37023,71,9,8, 70)
(10324,66,1,4, 70)
(37400,34,99,6, 70)
(37213,40,93,8, 70)
(24307,26,91,4, 71)
(43312,28,81,8, 71)
(40831,10,65,8, 71)
(43720,47,92,8, 71)
(25376,49,92,6, 71)
(43311,48,92,6, 71)
(27089,61,20,4, 71)
(34581,62,10,4, 71)
(34584,45,100,8, 71)
(37322,23,90,8, 71)
(26316,2,90,4, 71)
(43752,84,9,4, 71)
(17611,68,1,4, 71)
(50818,13,69,4, 71)
(30878,19,91,4, 71)
(27209,23,78,6, 71)
(26274,58,2,4, 71)
(38619,62,8,6, 71)
(43465,90,24,6, 71)
(17866,93,40,6, 71)
(32588,49,93,8, 71)
(43517,38,93,4, 71)
(27164,19,84,6, 71)
(20692,51,8,8, 71)
(24266,85,40,4, 71)
(43556,17,71,4, 71)
(34570,51,9,6, 71)
(49631,60,2,4, 71)
(40810,77,1,6, 71)
(50811,13,80,6, 71)
(17923,59,1,4, 71)
(17774,35,90,8, 71)
(30097,51,6,6, 71)
(43656,24,99,6, 71)
(37399,3,98,6, 71)
(27204,81,39,6, 71)
(25560,1,67,8, 71)
(43418,59,2,4, 71)
(17592,92,20,4, 71)
(28216,73,9,4, 71)
(32109,34,100,4, 71)
(47481,90,35,8, 71)
(50208,87,21,4, 71)
(17172,32,98,8, 71)
(12885,10,92,8, 71)
(22611,41,100,8, 71)
(23748,63,10,4, 71)
(17143,29,94,6, 71)
(10294,33,90,6, 71)
(34297,79,4,8, 71)
(17076,98,33,8, 71)
(24400,7,51,6, 71)
(13663,13,89,6, 71)
(32567,52,8,6, 71)
(49521,69,2,8, 71)
(31675,93,40,4, 71)
(38954,66,11,8, 71)
(24412,82,40,8, 71)
(50834,85,20,8, 71)
(40348,94,50,6, 71)
(27380,42,100,8, 71)
(10776,39,91,4, 71)
(36755,33,89,8, 71)
(29210,95,50,6, 71)
(16894,36,91,8, 71)
(11631,21,99,4, 71)
(31458,45,100,4, 71)
(13689,5,60,4, 71)
(11635,3,80,4, 71)
(40367,26,81,8, 71)
(13578,11,99,4, 71)
(24380,55,10,4, 71)
(44096,79,3,6, 71)
(22998,87,31,6, 71)
(13580,83,30,4, 71)
(24325,38,81,4, 71)
(43806,77,11,8, 71)
(23005,33,98,6, 71)
(25381,78,11,8, 71)
(33346,17,72,4, 71)
(26239,95,10,6, 71)
(37300,44,99,6, 71)
(13592,86,1,4, 71)
(26230,59,3,4, 71)
(37296,74,20,6, 71)
(43895,48,93,6, 71)
(17219,95,40,6, 71)
(31036,68,2,4, 71)
(20957,48,93,6, 71)
(47515,66,11,6, 71)
(47514,55,10,8, 71)
(34381,82,40,4, 71)
(10828,91,20,8, 71)
(50189,60,4,6, 71)
(36024,67,1,6, 71)
(36745,10,65,6, 71)
(23051,92,30,4, 71)
(27268,33,98,8, 71)
(17255,44,100,4, 71)
(30083,28,91,8, 71)
(44081,6,61,8, 71)
(38931,95,30,4, 71)
(18070,74,19,6, 71)
(49717,100,22,6, 71)
(18120,53,9,8, 71)
(30167,9,81,4, 71)
(19397,39,83,8, 71)
(41453,71,16,4, 71)
(24019,55,10,6, 71)
(33255,60,3,6, 71)
(42083,1,76,4, 71)
(34929,61,10,6, 71)
(47884,91,36,6, 71)
(41434,78,2,6, 71)
(26757,51,7,4, 71)
(33260,80,14,8, 71)
(42171,9,84,4, 71)
(48764,18,82,6, 71)
(29473,49,91,6, 71)
(42192,31,100,4, 71)
(13274,28,73,8, 71)
(41309,39,83,8, 71)
(19117,64,9,4, 71)
(19106,59,1,8, 71)
(19101,27,71,4, 71)
(41307,52,8,8, 71)
(26806,49,93,6, 71)
(26809,98,41,4, 71)
(19045,36,81,6, 71)
(11208,21,88,6, 71)
(20182,1,96,4, 71)
(20191,86,31,6, 71)
(41263,7,72,8, 71)
(42391,96,11,8, 71)
(41461,95,50,6, 71)
(28450,4,89,8, 71)
(19440,5,90,6, 71)
(26702,39,81,6, 71)
(41678,100,45,6, 71)
(35038,68,2,4, 71)
(19748,44,99,6, 71)
(37686,22,98,6, 71)
(30674,46,91,4, 71)
(11071,4,79,6, 71)
(19873,47,91,6, 71)
(26570,63,9,8, 71)
(19659,16,81,4, 71)
(26666,16,61,6, 71)
(32653,78,23,8, 71)
(34999,28,72,4, 71)
(13137,41,100,6, 71)
(49945,64,20,8, 71)
(37712,69,12,8, 71)
(19576,55,10,8, 71)
(31657,71,6,4, 71)
(41506,32,100,6, 71)
(36242,88,13,4, 71)
(30194,76,21,4, 71)
(19522,84,30,6, 71)
(41917,81,37,4, 71)
(49929,65,10,8, 71)
(19487,80,14,6, 71)
(22792,31,87,8, 71)
(19483,74,19,6, 71)
(25002,6,51,6, 71)
(47912,86,1,8, 71)
(31938,49,91,4, 71)
(26703,64,10,4, 71)
(32153,70,12,4, 71)
